phone_number,is_valid,location
+1 635-474-8673,False,
+1 489-690-3885,False,
+1 213-416-0509,True,"Los Angeles, CA"
+1 365-941-4841,True,Ontario
+1 673-417-8767,False,
+1 571-418-4208,True,Virginia
+1 859-200-8501,True,Kentucky
+1 407-809-1995,True,Florida
+1 588-266-1298,True,
+1 490-456-6588,False,
+1 676-988-9210,False,
+1 862-559-1985,True,New Jersey
+1 351-318-2421,True,Massachusetts
+1 441-712-1593,True,Bermuda
+1 925-294-5726,True,"Livermore, CA"
+1 237-767-8148,False,
+1 867-741-1672,True,Northwest Territories/Nunavut/Yukon
+1 635-764-4907,False,
+1 978-877-9459,True,Massachusetts
+1 558-334-3713,False,
+1 456-264-4414,False,
+1 677-794-9197,False,
+1 339-880-1728,True,Massachusetts
+1 508-535-6850,True,Massachusetts
+1 361-984-1710,True,Texas
+1 337-818-5394,True,Louisiana
+1 236-294-6387,True,British Columbia
+1 486-946-9416,False,
+1 975-361-3375,False,
+1 870-677-0276,True,Arkansas
+1 289-534-9513,True,Ontario
+1 900-293-2619,True,
+1 605-405-9849,True,South Dakota
+1 865-765-0729,True,Tennessee
+1 632-752-9648,False,
+1 760-277-8351,True,California
+1 481-861-4017,False,
+1 917-557-6214,True,New York
+1 438-813-8116,True,Quebec
+1 975-455-7357,False,
+1 512-577-9599,True,Texas
+1 312-826-6096,True,"Chicago, IL"
+1 348-513-3442,False,
+1 847-349-7664,True,Illinois
+1 336-942-5381,True,North Carolina
+1 786-686-9876,True,Florida
+1 878-511-2639,True,Pennsylvania
+1 281-462-3697,True,"Crosby, TX"
+1 700-538-4157,False,
+1 865-258-6684,True,Tennessee
+1 640-641-5319,True,New Jersey
+1 774-342-3610,True,Massachusetts
+1 641-973-3307,True,Iowa
+1 241-513-8314,False,
+1 579-541-2827,True,Quebec
+1 336-909-4729,True,North Carolina
+1 653-207-3670,False,
+1 211-440-1607,False,
+1 404-950-7067,True,Georgia
+1 893-390-9234,False,
+1 549-360-5276,False,
+1 769-581-6584,True,Mississippi
+1 208-913-0246,True,Idaho
+1 297-819-9799,False,
+1 245-424-5725,False,
+1 724-358-6437,True,Pennsylvania
+1 455-963-0484,False,
+1 688-998-4909,False,
+1 319-462-3939,True,"Anamosa, IA"
+1 526-921-3983,False,
+1 760-289-4838,True,California
+1 631-316-3837,True,New York
+1 866-918-0583,True,
+1 368-580-7050,False,
+1 885-282-5893,False,
+1 258-655-5840,False,
+1 432-908-5045,True,Texas
+1 962-967-4965,False,
+1 677-444-2216,False,
+1 639-586-5917,True,Saskatchewan
+1 829-958-0516,True,Dominican Republic
+1 718-278-6631,True,New York
+1 919-570-4504,True,North Carolina
+1 966-237-7108,False,
+1 354-272-8766,False,
+1 547-242-0117,False,
+1 707-899-8708,True,California
+1 629-924-7609,True,Tennessee
+1 557-680-0182,False,
+1 355-969-0289,False,
+1 354-887-8757,False,
+1 582-717-7598,False,
+1 644-283-4621,False,
+1 260-767-3006,True,Indiana
+1 681-957-5006,True,West Virginia
+1 782-312-8469,True,Nova Scotia/Prince Edward Island
+1 543-647-7136,False,
+1 357-893-1479,False,
+1 804-352-0937,True,Virginia
+1 351-413-6263,True,Massachusetts
+1 411-359-0765,False,
+1 767-858-9407,False,
+1 896-903-6638,False,
+1 978-715-7106,True,Massachusetts
+1 290-413-8581,False,
+1 289-639-4672,True,Ontario
+1 665-600-9044,False,
+1 261-872-8021,False,
+1 692-238-8354,False,
+1 915-612-3196,True,Texas
+1 297-529-7696,False,
+1 520-815-5811,True,Arizona
+1 888-931-5885,True,
+1 778-621-2242,True,British Columbia
+1 569-552-2601,False,
+1 289-899-5437,True,Ontario
+1 924-578-1221,False,
+1 488-623-5887,False,
+1 528-759-1572,False,
+1 467-713-7769,False,
+1 250-963-0555,True,"Prince George, BC"
+1 509-878-4353,True,Washington State
+1 529-747-8654,False,
+1 986-515-4085,True,Idaho
+1 342-448-6751,False,
+1 928-925-4718,True,Arizona
+1 203-285-3842,True,Connecticut
+1 906-482-8457,True,Michigan
+1 865-569-2970,True,Tennessee
+1 585-322-2308,True,New York
+1 309-464-9214,True,Illinois
+1 435-298-9119,True,Utah
+1 332-841-3712,True,"New York, NY"
+1 980-903-9215,True,North Carolina
+1 426-511-9892,False,
+1 347-888-4290,True,New York
+1 406-470-4217,True,Montana
+1 332-680-2938,True,"New York, NY"
+1 305-382-7419,True,"Miami, FL"
+1 942-572-3268,False,
+1 913-395-8746,True,Kansas
+1 945-493-0168,False,
+1 336-515-5576,True,North Carolina
+1 887-681-7401,False,
+1 746-998-6020,False,
+1 523-396-1320,False,
+1 578-643-8520,False,
+1 898-326-1985,False,
+1 725-610-7263,True,Nevada
+1 437-572-3425,True,Ontario
+1 928-363-8684,True,Arizona
+1 605-622-5991,True,"Aberdeen, SD"
+1 355-788-9447,False,
+1 271-677-3308,False,
+1 572-623-9960,False,
+1 374-913-6521,False,
+1 352-890-0557,True,Florida
+1 839-843-8332,False,
+1 261-998-4204,False,
+1 759-680-5096,False,
+1 241-775-9272,False,
+1 876-261-7867,True,Jamaica
+1 309-591-1948,True,Illinois
+1 363-504-0293,False,
+1 315-666-4525,True,New York
+1 425-834-6677,True,Washington State
+1 570-825-0215,True,"Wilkes-Barre, PA"
+1 674-787-6777,False,
+1 460-818-8822,False,
+1 513-777-0831,True,"West Chester, OH"
+1 553-291-7871,False,
+1 459-477-0152,False,
+1 866-485-2597,True,
+1 517-587-0332,True,Michigan
+1 769-882-9916,True,Mississippi
+1 627-506-3632,False,
+1 956-395-6414,True,Texas
+1 790-622-3180,False,
+1 975-449-6788,False,
+1 845-749-4374,True,New York
+1 720-694-8614,True,Colorado
+1 519-795-9965,True,Ontario
+1 809-787-3446,True,Dominican Republic
+1 640-882-7826,True,New Jersey
+1 232-728-4954,False,
+1 570-578-2928,True,Pennsylvania
+1 837-406-4775,False,
+1 762-792-8129,True,Georgia
+1 596-274-2292,False,
+1 682-980-8590,True,Texas
+1 882-889-3347,False,
+1 550-478-4552,False,
+1 929-334-4891,True,New York
+1 402-858-5466,True,Nebraska
+1 354-832-9525,False,
+1 986-876-5342,True,Idaho
+1 715-671-3357,True,Wisconsin
+1 871-614-4200,False,
+1 273-734-5615,False,
+1 391-833-6655,False,
+1 992-290-5928,False,
+1 350-738-0571,False,
+1 797-381-0235,False,
+1 938-842-2579,True,Alabama
+1 797-317-0869,False,
+1 596-939-9772,False,
+1 590-687-3082,False,
+1 925-816-1952,True,California
+1 486-646-0347,False,
+1 460-371-3846,False,
+1 612-999-3567,True,Minnesota
+1 558-511-5946,False,
+1 245-844-5239,False,
+1 603-529-0605,True,"Weare, NH"
+1 527-358-6102,False,
+1 474-879-3780,False,
+1 866-211-7827,True,
+1 398-608-1016,False,
+1 460-661-0927,False,
+1 423-464-0692,True,Tennessee
+1 505-654-5240,True,New Mexico
+1 667-359-5701,True,Maryland
+1 849-641-5289,True,Dominican Republic
+1 760-424-4617,True,California
+1 963-792-3430,False,
+1 548-613-8899,True,Ontario
+1 867-685-5199,True,Northwest Territories/Nunavut/Yukon
+1 723-524-6295,False,
+1 727-674-3420,True,Florida
+1 570-331-7571,True,"Kingston, PA"
+1 773-494-0713,True,"Chicago, IL"
+1 353-944-9077,False,
+1 431-232-2855,True,Manitoba
+1 630-602-0063,True,Illinois
+1 464-266-9843,False,
+1 708-689-4285,True,Illinois
+1 353-430-9613,False,
+1 890-328-5480,False,
+1 775-367-6358,True,Nevada
+1 937-370-1386,True,Ohio
+1 428-903-2471,False,
+1 685-735-6840,False,
+1 681-856-9417,True,West Virginia
+1 241-684-0350,False,
+1 769-315-2878,True,Mississippi
+1 685-385-5632,False,
+1 959-947-4406,True,Connecticut
+1 697-496-0540,False,
+1 275-799-2298,False,
+1 625-440-2861,False,
+1 655-974-2287,False,
+1 351-700-1450,True,Massachusetts
+1 348-530-4673,False,
+1 923-917-2499,False,
+1 241-580-9396,False,
+1 822-568-6082,False,
+1 652-317-2864,False,
+1 907-760-3165,True,Alaska
+1 404-297-5596,True,Georgia
+1 215-778-8436,True,Pennsylvania
+1 401-591-3699,True,Rhode Island
+1 605-855-9554,True,South Dakota
+1 598-931-0662,False,
+1 972-586-3711,True,Texas
+1 963-507-6309,False,
+1 956-928-5428,True,"McAllen, TX"
+1 905-434-2399,True,"Oshawa, ON"
+1 475-610-9920,True,Connecticut
+1 571-807-6004,True,Virginia
+1 779-861-4123,True,Illinois
+1 944-395-9951,False,
+1 993-800-1969,False,
+1 784-967-1286,False,
+1 207-710-3791,True,Maine
+1 379-705-9173,False,
+1 944-358-5581,False,
+1 972-395-7123,True,"Carrollton, TX"
+1 272-882-7496,True,Pennsylvania
+1 531-880-5495,True,Nebraska
+1 453-303-8162,False,
+1 437-532-2545,True,Ontario
+1 799-867-7659,False,
+1 420-370-5228,False,
+1 635-728-9711,False,
+1 969-447-7231,False,
+1 902-356-3841,True,Nova Scotia/Prince Edward Island
+1 340-262-0782,False,
+1 317-389-4054,True,Indiana
+1 737-290-9345,True,Texas
+1 769-625-7662,True,Mississippi
+1 620-420-2489,True,Kansas
+1 827-796-5792,False,
+1 499-740-7083,False,
+1 811-417-9079,False,
+1 694-532-7557,False,
+1 713-686-7768,True,"Houston, TX"
+1 896-293-2053,False,
+1 552-996-3136,False,
+1 653-866-8471,False,
+1 704-746-4087,True,North Carolina
+1 490-419-8546,False,
